"","dspid","stromal_cluster"
"275","DSP_1001660009494_D_B02",NA
"276","DSP_1001660009494_D_B03",NA
"277","DSP_1001660009494_D_B05","SC1"
"278","DSP_1001660009494_D_B06",NA
"279","DSP_1001660009494_D_B07",NA
"280","DSP_1001660009494_D_B08",NA
"281","DSP_1001660009494_D_B09",NA
"282","DSP_1001660009494_D_B10",NA
"283","DSP_1001660009494_D_B11",NA
"284","DSP_1001660009494_D_B12",NA
"285","DSP_1001660009494_D_C01","SC1"
"286","DSP_1001660009494_D_C02","SC1"
"287","DSP_1001660009494_D_C03",NA
"288","DSP_1001660009494_D_C04","SC1"
"289","DSP_1001660009494_D_C05",NA
"290","DSP_1001660009494_D_C07","SC1"
"291","DSP_1001660009494_D_C08",NA
"292","DSP_1001660009494_D_C09",NA
"293","DSP_1001660009494_D_C10",NA
"294","DSP_1001660009494_D_C11","SC1"
"295","DSP_1001660009494_D_C12",NA
"296","DSP_1001660009494_D_D01","SC1"
"297","DSP_1001660009494_D_D02",NA
"298","DSP_1001660009494_D_D03","SC1"
"299","DSP_1001660009494_D_D04",NA
"300","DSP_1001660009494_D_D05",NA
"301","DSP_1001660009494_D_D06",NA
"302","DSP_1001660009494_D_D08",NA
"303","DSP_1001660009494_D_D09",NA
"304","DSP_1001660009494_D_D11",NA
"305","DSP_1001660009494_D_D12",NA
"306","DSP_1001660009494_D_E01",NA
"307","DSP_1001660009494_D_E02",NA
"308","DSP_1001660009494_D_E03",NA
"309","DSP_1001660009494_D_E04",NA
"310","DSP_1001660009494_D_E05","SC2"
"311","DSP_1001660009494_D_E06",NA
"312","DSP_1001660009494_D_E07",NA
"313","DSP_1001660009494_D_E08",NA
"314","DSP_1001660009494_D_E09",NA
"315","DSP_1001660009494_D_E10",NA
"316","DSP_1001660009494_D_E11","SC1"
"317","DSP_1001660009494_D_E12","SC1"
"318","DSP_1001660009494_D_F01","SC1"
"319","DSP_1001660009494_D_F02",NA
"320","DSP_1001660009494_D_F03",NA
"321","DSP_1001660009494_D_F04",NA
"322","DSP_1001660009494_D_F05",NA
"323","DSP_1001660009494_D_F06","SC2"
"324","DSP_1001660009494_D_F07","SC2"
"325","DSP_1001660009494_D_F08",NA
"326","DSP_1001660009494_D_F09",NA
"327","DSP_1001660009494_D_F10",NA
"328","DSP_1001660009494_D_F11","SC1"
"329","DSP_1001660009494_D_F12",NA
"330","DSP_1001660009494_D_G01","SC1"
"331","DSP_1001660009494_D_G02",NA
"332","DSP_1001660009494_D_G03",NA
"333","DSP_1001660009494_D_G04",NA
"334","DSP_1001660009494_D_G05","SC2"
"335","DSP_1001660009494_D_G06",NA
"336","DSP_1001660009494_D_G07",NA
"337","DSP_1001660009494_D_G08",NA
"338","DSP_1001660009494_D_G09",NA
"339","DSP_1001660009494_D_G10",NA
"340","DSP_1001660009494_D_G11","SC1"
"341","DSP_1001660009494_D_G12","SC1"
"342","DSP_1001660009494_D_H01",NA
